路線,区間,本数,駅,状態
東海道線,東海道線(大船〜小田原),131,大船 平塚 小田原,auto_v2
東海道線,東海道線(小田原〜熱海),64,小田原,auto_v2
高崎線,高崎線(大宮〜籠原),118,大宮 宮原 上尾 北上尾 桶川 北本 鴻巣 北鴻巣 吹上 行田 熊谷 籠原,manual
高崎線,高崎線(籠原〜神保原),64,籠原 深谷 岡部 本庄 神保原,manual
青梅線,青梅線(立川〜昭島),136,立川 西立川 東中神 中神 昭島,auto_v2
青梅線,青梅線(昭島〜青梅),108,昭島 拝島 牛浜 福生 羽村 小作 河辺 東青梅 青梅,auto_v2
青梅線,青梅線(青梅〜奥多摩),30,青梅 宮ノ平 日向和田 石神前 二俣尾 軍畑 沢井 御嶽 川井 古里 鳩ノ巣 白丸 奥多摩,auto_v2
五日市線,,52,,auto_v1
横須賀線,,110,,auto_fail
横浜線,横浜線(東神奈川〜相模原),142,東神奈川 大口 菊名 新横浜 小机 鴨居 中山 十日市場 長津田 成瀬 町田 古淵 淵野辺 矢部 相模原,auto_v2
横浜線,横浜線(相模原〜橋本),159,相模原 橋本,auto_v2
横浜線,横浜線(橋本〜八王子),114,橋本 相原 八王子みなみ野 片倉 八王子,auto_v2
南武線,南武線(立川〜稲城長沼),126,立川 西国立 矢川 谷保 西府 分倍河原 府中本町 南多摩 稲城長沼,auto_v2
南武線,南武線(稲城長沼〜八丁畷),156,稲城長沼 矢野口 稲田堤 中野島 登戸 宿河原 久地 津田山 武蔵溝ノ口 武蔵新城 武蔵中原 武蔵小杉 向河原 平間 鹿島田 矢向 尻手 八丁畷,auto_v2
南武線,南武線(八丁畷〜川崎),39,八丁畷 川崎新町 小田栄 浜川崎 川崎,auto_v2
鶴見線,鶴見線(鶴見〜弁天橋),94,鶴見 国道 鶴見小野 弁天橋,auto_review
鶴見線,鶴見線(弁天橋〜安善),85,弁天橋 安善,auto_review
鶴見線,鶴見線(安善〜大川),52,安善 大川,auto_review
鶴見線,鶴見線(大川〜浜川崎),9,大川 浜川崎,auto_review
鶴見線,鶴見線(浜川崎〜武蔵白石),31,浜川崎 昭和 扇町 武蔵白石,auto_review
鶴見線,鶴見線(武蔵白石〜浅野),46,武蔵白石 浅野,auto_review
鶴見線,鶴見線(浅野〜海芝浦),24,浅野 新芝浦 海芝浦,auto_review
八高線,八高線(丹荘〜高麗川),20,丹荘 児玉 松久 用土 寄居 折原 竹沢 小川町 明覚 越生 毛呂 高麗川,auto_v2
八高線,八高線(高麗川〜八王子),44,高麗川 東飯能 金子 箱根ヶ崎 東福生 拝島 小宮 北八王子 八王子,auto_v2
川越線,川越線(大宮〜川越),71,大宮 日進 西大宮 指扇 南古谷 川越,auto_v2
川越線,川越線(川越〜高麗川),47,川越 西川越 的場 笠幡 武蔵高萩 高麗川,auto_v2
埼京線,埼京線(北与野〜十条),137,北与野 与野本町 南与野 中浦和 武蔵浦和 北戸田 戸田 戸田公園 浮間舟渡 北赤羽 十条,auto_v2
埼京線,埼京線(十条〜板橋),206,十条 赤羽 池袋 板橋,auto_v2
相模線,,50,,auto_fail
常磐線,常磐線(日暮里〜綾瀬),134,日暮里 三河島 南千住 北千住 綾瀬,manual
常磐線,常磐線(綾瀬〜我孫子),158,綾瀬 亀有 金町 我孫子,manual
常磐線,常磐線(我孫子〜松戸),114,我孫子 松戸,manual
常磐線,常磐線(松戸〜新松戸),133,松戸 新松戸,manual
常磐線,常磐線(新松戸〜北柏),150,新松戸 天王台 南柏 馬橋 柏 北小金 北松戸 北柏,manual
