路線,区間,本数,駅,状態
水戸線,水戸線(下館〜小山),32,下館 玉戸 川島 東結城 結城 小田林 小山,auto_v2
水郡線,,13,,manual
湊線,,31,,auto_v1
烏山線,,13,,auto_v1
真岡線,,23,,auto_v1
竜ヶ崎線,,40,,auto_v1
筑波山鋼索鉄道線,,25,,auto_v1
いわて銀河鉄道線,,,,auto_fail
フラワー長井線,,8,,auto_v1
三陸鉄道リアス線,,,,auto_fail
五能線,,15,,auto_v1
仙台市営南北線,,157,,auto_v1
仙台市営東西線,,140,,auto_v1
仙台空港線,,44,,auto_v1
仙山線,仙山線(仙台〜愛子),52,仙台 東照宮 北仙台 北山 東北福祉大前 国見 葛岡 陸前落合 愛子,auto_v2
仙山線,仙山線(愛子〜羽前千歳),19,愛子 陸前白沢 熊ヶ根 作並 奥新川 面白山高原 山寺 高瀬 楯山 羽前千歳,auto_v2
仙石線,仙石線(石巻〜陸前赤井),24,石巻 陸前山下 蛇田 石巻あゆみ野 陸前赤井,auto_review
仙石線,仙石線(陸前赤井〜高城町),16,陸前赤井 東矢本 矢本 鹿妻 陸前小野 野蒜 東名 陸前大塚 陸前富山 手樽 高城町,auto_review
仙石線,仙石線(高城町〜東塩釜),40,高城町 松島海岸 陸前浜田 東塩釜,auto_review
仙石線,仙石線(東塩釜〜多賀城),76,東塩釜 本塩釜 西塩釜 下馬 多賀城,auto_review
仙石線,仙石線(多賀城〜あおば通),91,多賀城 中野栄 陸前高砂 福田町 小鶴新田 苦竹 陸前原ノ町 宮城野原 榴ヶ岡 仙台 あおば通,auto_review
会津線,,12,,auto_v1
八戸線,八戸線(八戸〜鮫),20,八戸 長苗代 本八戸 小中野 陸奥湊 白銀 鮫,auto_v2
八戸線,八戸線(鮫〜久慈),8,鮫 陸奥白浜 種差海岸 大久喜 金浜 大蛇 階上 角の浜 平内 種市 玉川 宿戸 陸中八木 有家 陸中中野 侍浜 陸中夏井 久慈,auto_v2
北上線,,8,,auto_v1
只見線,只見線(会津若松〜西若松),18,会津若松 七日町 西若松,auto_v2
只見線,只見線(西若松〜只見),7,西若松 会津本郷 会津高田 根岸 新鶴 若宮 会津坂下 塔寺 会津坂本 会津柳津 郷戸 滝谷 会津桧原 会津西方 会津宮下 早戸 会津水沼 会津中川 会津川口 本名 会津越川 会津横田 会津大塩 会津塩沢 会津蒲生 只見,auto_v2
大湊線,,10,,auto_v1
大船渡線,,9,,auto_v1
大鰐線,,16,,auto_v1
奥羽線,,,,auto_fail
山田線,,,,auto_fail
左沢線,,15,,auto_v1
弘南線,,23,,auto_v1
東北本線,東北本線(黒磯〜郡山),18,黒磯 高久 黒田原 豊原 白坂 新白河 白河 久田野 泉崎 矢吹 鏡石 須賀川 安積永盛 郡山,manual
東北本線,東北本線(郡山〜福島),25,郡山 日和田 五百川 本宮 杉田 二本松 安達 松川 金谷川 南福島 福島,manual
東北本線,東北本線(福島〜白石),18,福島 東福島 伊達 桑折 藤田 貝田 越河 白石,manual
東北本線,東北本線(白石〜仙台),40,白石 北白川 東白石 大河原 船岡 槻木 岩沼 館腰 名取 南仙台 太子堂 長町 仙台,manual
東北本線,東北本線(仙台〜小牛田),45,仙台 東仙台 陸前山王 岩切 国府多賀城 塩釜 新利府 利府 松島 高城町 愛宕 品井沼 鹿島台 松山町 小牛田,manual
東北本線,東北本線(小牛田〜一ノ関),17,小牛田 田尻 瀬峰 梅ヶ沢 新田 石越 油島 花泉 清水原 有壁 一ノ関,manual
東北本線,東北本線(一ノ関〜北上),18,一ノ関 山ノ目 平泉 前沢 陸中折居 水沢 金ヶ崎 六原 北上,manual
東北本線,東北本線(北上〜盛岡),34,北上 村崎野 花巻 花巻空港 石鳥谷 日詰 紫波中央 古館 矢幅 岩手飯岡 仙北町 盛岡,manual
気仙沼線,,19,,auto_v1
津軽線,,,,auto_fail
津軽鉄道線,,10,,auto_v1
田沢湖線,,12,,auto_v1
男鹿線,,14,,auto_v1
石巻線,,14,,auto_v1
磐越東線,磐越東線(郡山〜小野新町),15,郡山 舞木 三春 要田 船引 磐城常葉 大越 菅谷 神俣 小野新町,auto_v2
磐越東線,磐越東線(小野新町〜いわき),6,小野新町 夏井 川前 江田 小川郷 赤井 いわき,auto_v2
磐越西線,磐越西線(郡山〜郡山富田),20,郡山 郡山富田,auto_v2
磐越西線,磐越西線(郡山富田〜徳沢),10,郡山富田 喜久田 安子ヶ島 磐梯熱海 中山宿 上戸 猪苗代湖畔 関都 川桁 猪苗代 翁島 磐梯町 東長原 広田 会津若松 堂島 笈川 塩川 姥堂 会津豊川 喜多方 山都 荻野 尾登 野沢 上野尻 徳沢,auto_v2
秋田内陸線,,9,,auto_v1
米坂線,,,,auto_fail
羽越線,,,,auto_fail
花輪線,,,,auto_fail
釜石線,,10,,auto_v1
阿武隈急行線,,23,,auto_v1
陸羽東線,陸羽東線(小牛田〜陸前谷地),23,小牛田 北浦 陸前谷地,auto_v2
陸羽東線,陸羽東線(陸前谷地〜鳴子温泉),14,陸前谷地 古川 塚目 西古川 東大崎 西大崎 岩出山 有備館 上野目 池月 川渡温泉 鳴子御殿湯 鳴子温泉,auto_v2
陸羽東線,陸羽東線(鳴子温泉〜新庄),4,鳴子温泉 中山平温泉 堺田 赤倉温泉 立小路 最上 大堀 鵜杉 瀬見温泉 東長沢 長沢 南新庄 新庄,auto_v2
陸羽西線,,9,,auto_v1
青い森鉄道線,,,,auto_fail
飯坂線,,50,,auto_v1
鳥海山ろく線,,13,,auto_v1
函館市電,函館市電(湯の川〜函館アリーナ前),132,湯の川 湯の川温泉 函館アリーナ前,auto_v2
函館市電,函館市電(函館アリーナ前〜十字街),118,函館アリーナ前 駒場車庫前 競馬場前 深堀町 柏木町 杉並町 五稜郭公園前 中央病院前 千代台 堀川町 昭和橋 千歳町 新川町 松風町 函館駅前 市役所前 魚市場通 十字街,auto_v2
函館市電,函館市電(十字街〜函館どつく前),59,十字街 宝来町 青柳町 谷地頭 末広町 大町 函館どつく前,auto_v2
函館線,,,,auto_fail
北海道新幹線,,13,,auto_v1
千歳線,,,,auto_fail
宗谷線,宗谷線(旭川〜旭川四条),22,旭川 旭川四条,auto_v2
宗谷線,宗谷線(旭川四条〜永山),15,旭川四条 新旭川 永山,auto_v2
宗谷線,宗谷線(永山〜稚内),9,永山 北永山 比布 蘭留 塩狩 和寒 剣淵 士別 多寄 瑞穂 風連 名寄高校 名寄 日進 智恵文 智北 美深 初野 恩根内 天塩川温泉 咲来 音威子府 筬島 佐久 天塩中川 問寒別 糠南 雄信内 南幌延 幌延 下沼 豊富 兜沼 勇知 抜海 南稚内 稚内,auto_v2
室蘭線,,,,auto_fail
富良野線,富良野線(旭川〜神楽岡),19,旭川 神楽岡,auto_v2
富良野線,富良野線(神楽岡〜富良野),8,神楽岡 緑が丘 西御料 西瑞穂 西神楽 西聖和 千代ヶ岡 北美瑛 美瑛 美馬牛 上富良野 西中 中富良野 鹿討 学田 富良野,auto_v2
日高線,,8,,auto_v1
札幌市営南北線,札幌市営南北線(麻生〜北34条),264,麻生 北34条,auto_v2
札幌市営南北線,札幌市営南北線(北34条〜真駒内),171,北34条 北24条 北18条 北12条 さっぽろ 大通 すすきの 中島公園 幌平橋 中の島 平岸 南平岸 澄川 自衛隊前 真駒内,auto_v2
札幌市営東西線,,169,,auto_v1
札幌市営東豊線,,158,,auto_v1
札幌市電,,142,,auto_v1
札沼線,札沼線(桑園〜あいの里公園),55,桑園 八軒 新川 新琴似 太平 百合が原 篠路 拓北 あいの里教育大 あいの里公園,auto_v2
札沼線,札沼線(あいの里公園〜北海道医療大学),41,あいの里公園 ロイズタウン 太美 当別 北海道医療大学,auto_v2
根室線,,,,auto_fail
海峡線,,,,auto_fail
留萌線,,0,,manual
石勝線,,12,,auto_v1
石北線,,,,auto_fail
道南いさりび鉄道線,道南いさりび鉄道線(五稜郭〜上磯),16,五稜郭 七重浜 東久根別 久根別 清川口 上磯,auto_v2
道南いさりび鉄道線,道南いさりび鉄道線(上磯〜木古内),7,上磯 茂辺地 渡島当別 釜谷 泉沢 札苅 木古内,auto_v2
釧網線,,7,,auto_v1
伊東線,伊東線(伊東〜宇佐美),45,伊東 宇佐美,auto_v2
伊東線,伊東線(宇佐美〜熱海),33,宇佐美 網代 伊豆多賀 来宮 熱海,auto_v2
IRいしかわ鉄道線,IRいしかわ鉄道線(倶利伽羅〜津幡),29,倶利伽羅 津幡,auto_v2
IRいしかわ鉄道線,IRいしかわ鉄道線(津幡〜金沢),57,津幡 森本 東金沢 金沢,auto_v2
JR東西線,,158,,auto_v1
あいの風とやま鉄道線,,,,auto_fail
あおなみ線,,78,,auto_v1
おおさか東線,,69,,auto_v1
けいはんな線,けいはんな線(長田〜生駒),159,長田 荒本 吉田 新石切 生駒,auto_v2
けいはんな線,けいはんな線(生駒〜学研奈良登美ヶ丘),113,生駒 白庭台 学研北生駒 学研奈良登美ヶ丘,auto_v2
しなの鉄道線,しなの鉄道線(篠ノ井〜上田),35,篠ノ井 屋代高校前 屋代 千曲 戸倉 坂城 テクノさかき 西上田 上田,auto_v2
しなの鉄道線,しなの鉄道線(上田〜軽井沢),28,上田 信濃国分寺 大屋 田中 滋野 小諸 平原 御代田 信濃追分 中軽井沢 軽井沢,auto_v2
とさでん交通,,,,auto_fail
ほくほく線,,18,,auto_v1
ゆいレール,,151,,auto_v1
アストラムライン,アストラムライン(広域公園前〜伴),104,広域公園前 大塚 伴中央 大原 伴,auto_v2
アストラムライン,アストラムライン(伴〜本通),141,伴 長楽寺 高取 上安 安東 毘沙門台 大町 古市 中筋 西原 祇園新橋北 不動院前 牛田 白島 新白島 城北 県庁前 本通,auto_v2
ガイドウェイバス志段味線,,,,auto_fail
ポートアイランド線,ポートアイランド線(三宮〜北埠頭),312,三宮 貿易センター ポートターミナル 中公園 北埠頭,auto_review
ポートアイランド線,ポートアイランド線(北埠頭〜市民広場),134,北埠頭 中埠頭 南公園 市民広場,auto_review
ポートアイランド線,ポートアイランド線(市民広場〜神戸空港),179,市民広場 みなとじま 医療センター 計算科学センター 神戸空港,auto_review
リニモ,,123,,auto_v1
七尾線,,,,auto_fail
三国芦原線,,34,,auto_v1
三岐線,,32,,auto_v1
三河線,,,,auto_fail
三田線,三田線(三田〜三田本町),201,三田 三田本町,auto_v2
三田線,三田線(三田本町〜神鉄道場),156,三田本町 横山 神鉄道場,auto_v2
三田線,三田線(神鉄道場〜有馬口),78,神鉄道場 道場南口 二郎 田尾寺 岡場 五社 有馬口,auto_v2
三角線,,17,,auto_v1
上滝線,,25,,auto_v1
上町線,,158,,auto_v1
上高地線,,25,,auto_v1
不二越線,,25,,auto_v1
中之島線,,105,,auto_v1
中央線(JR東海),,,,auto_fail
中村線,中村線(窪川〜若井),21,窪川 若井,auto_v2
中村線,中村線(若井〜中村),9,若井 荷稲 伊与喜 土佐佐賀 佐賀公園 土佐白浜 有井川 土佐上川口 海の王迎 浮鞭 土佐入野 西大方 古津賀 中村,auto_v2
久大線,,,,auto_fail
九州新幹線,九州新幹線(鹿児島中央〜川内),46,鹿児島中央 川内,auto_review
九州新幹線,九州新幹線(川内〜出水),40,川内 出水,auto_review
九州新幹線,九州新幹線(出水〜熊本),29,出水 新水俣 新八代 熊本,auto_review
九州新幹線,九州新幹線(熊本〜新玉名),60,熊本 新玉名,auto_review
九州新幹線,九州新幹線(新玉名〜久留米),24,新玉名 新大牟田 筑後船小屋 久留米,auto_review
九州新幹線,九州新幹線(久留米〜博多),54,久留米 新鳥栖 博多,auto_review
予土線,,6,,auto_v1
予讃線,,,,auto_fail
井原線,井原線(神辺〜清音),22,神辺 湯野 御領 子守唄の里高屋 いずえ 井原 早雲の里荏原 小田 矢掛 三谷 備中呉妹 吉備真備 川辺宿 清音,auto_v2
井原線,井原線(清音〜総社),16,清音 総社,auto_v2
井川線,,3,,auto_v1
交野線,,100,,auto_v1
京津線,,60,,auto_v1
京福鋼索線,,,,auto_fail
京都市営東西線,京都市営東西線(六地蔵〜御陵),134,六地蔵 石田 醍醐 小野 椥辻 東野 山科 御陵,auto_v2
京都市営東西線,京都市営東西線(御陵〜太秦天神川),192,御陵 蹴上 東山 三条京阪 京都市役所前 烏丸御池 二条城前 二条 西大路御池 太秦天神川,auto_v2
京都市営烏丸線,,166,,auto_v1
京阪本線,京阪本線(三条〜祇園四条),200,三条 祇園四条,auto_review
京阪本線,京阪本線(祇園四条〜七条),105,祇園四条 清水五条 七条,auto_review
京阪本線,京阪本線(七条〜橋本),94,七条 東福寺 鳥羽街道 伏見稲荷 龍谷大前深草 藤森 墨染 丹波橋 伏見桃山 中書島 淀 石清水八幡宮 橋本,auto_review
京阪本線,京阪本線(橋本〜淀屋橋),220,橋本 樟葉 牧野 御殿山 枚方市 枚方公園 光善寺 香里園 寝屋川市 萱島 大和田 古川橋 門真市 西三荘 守口市 土居 滝井 千林 森小路 関目 野江 京橋 天満橋 北浜 淀屋橋,auto_review
京阪鋼索線,,,,auto_fail
今津線,今津線(宝塚〜西宮北口),144,宝塚 宝塚南口 逆瀬川 小林 仁川 甲東園 門戸厄神 西宮北口,auto_v2
今津線,今津線(西宮北口〜今津),119,西宮北口 阪神国道 今津,auto_v2
伊丹線,,125,,auto_v1
伊予鉄道城北線,,,,auto_fail
伊勢線,,,,auto_fail
伊田線,伊田線(田川伊田〜金田),26,田川伊田 下伊田 田川市立病院 糒 上金田 金田,auto_v2
伊田線,伊田線(金田〜直方),34,金田 人見 赤池 ふれあい生力 市場 中泉 藤棚 あかぢ 南直方御殿口 直方,auto_v2
伊豆急行線,伊豆急行線(伊東〜南伊東),40,伊東 南伊東,auto_v2
伊豆急行線,伊豆急行線(南伊東〜伊豆急下田),28,南伊東 川奈 富戸 城ヶ崎海岸 伊豆高原 伊豆大川 伊豆北川 伊豆熱川 片瀬白田 伊豆稲取 今井浜海岸 河津 稲梓 蓮台寺 伊豆急下田,auto_v2
伊賀線,伊賀線(伊賀神戸〜上野市),35,伊賀神戸 比土 上林 丸山 依那古 市部 猪田道 四十九 桑町 茅町 広小路 上野市,auto_v2
伊賀線,伊賀線(上野市〜伊賀上野),24,上野市 西大手 新居 伊賀上野,auto_v2
伯備線,,,,auto_fail
佐世保線,佐世保線(江北〜大町),51,江北 大町,auto_review
佐世保線,佐世保線(大町〜早岐),15,大町 北方 高橋 武雄温泉 永尾 三間坂 上有田 有田 三河内 早岐,auto_review
佐世保線,佐世保線(早岐〜大塔),45,早岐 大塔,auto_review
佐世保線,佐世保線(大塔〜佐世保),28,大塔 日宇 佐世保,auto_review
信楽線,,15,,auto_v1
信貴線,,58,,auto_v1
八日市線,,38,,auto_v1
八栗ケーブル,,50,,auto_v1
八王子線,,37,,auto_v1
公園都市線,,78,,auto_v1
六甲アイランド線,,235,,auto_v1
六甲ケーブル線,,,,auto_fail
内子線,内子線(内子〜五十崎),25,内子 五十崎,auto_v2
内子線,内子線(五十崎〜新谷),9,五十崎 喜多山 新谷,auto_v2
内部線,内部線(内部〜日永),38,内部 小古曽 追分 泊 南日永 日永,auto_v2
内部線,内部線(日永〜あすなろう四日市),75,日永 赤堀 あすなろう四日市,auto_v2
別府ラクテンチケーブル線,,,,auto_fail
別所線,別所線(別所温泉〜下之郷),25,別所温泉 八木沢 舞田 中野 塩田町 中塩田 下之郷,auto_v2
別所線,別所線(下之郷〜上田),39,下之郷 大学前 神畑 寺下 上田原 赤坂上 三好町 城下 上田,auto_v2
加古川線,加古川線(谷川〜西脇市),9,谷川 久下村 船町口 本黒田 黒田庄 日本へそ公園 比延 新西脇 西脇市,auto_v2
加古川線,加古川線(西脇市〜厄神),19,西脇市 滝 滝野 社町 青野ヶ原 河合西 粟生 小野町 市場 厄神,auto_v2
加古川線,加古川線(厄神〜加古川),37,厄神 神野 日岡 加古川,auto_v2
加太線,,49,,auto_v1
勝山永平寺線,勝山永平寺線(勝山〜福井口),35,勝山 比島 発坂 保田 小舟渡 越前竹原 山王 越前野中 轟 光明寺 下志比 永平寺口 志比堺 松岡 観音町 越前島橋 東藤島 追分口 越前新保 越前開発 福井口,auto_v2
勝山永平寺線,勝山永平寺線(福井口〜福井),71,福井口 新福井 福井,auto_v2
北しなの線,北しなの線(妙高高原〜豊野),17,妙高高原 黒姫 古間 牟礼 豊野,auto_v2
北しなの線,北しなの線(豊野〜長野),37,豊野 三才 北長野 長野,auto_v2
北九州モノレール,,106,,auto_v1
北勢線,北勢線(西桑名〜楚原),41,西桑名 馬道 西別所 蓮花寺 在良 星川 七和 穴太 東員 大泉 楚原,auto_v2
北勢線,北勢線(楚原〜阿下喜),27,楚原 麻生田 阿下喜,auto_v2
北大阪急行南北線,,,,auto_fail
北条線,,,,auto_fail
北松江線,,24,,auto_v1
北野線,,99,,auto_v1
北陸線,,,,auto_fail
十国鋼索線,,,,auto_fail
千里線,,144,,auto_v1
南大阪線,,111,,auto_v1
南海本線,南海本線(天下茶屋〜湊),241,天下茶屋 萩ノ茶屋 新今宮 今宮戎 難波 岸里玉出 粉浜 住吉大社 住ノ江 七道 堺 湊,auto_review
南海本線,南海本線(湊〜諏訪ノ森),94,湊 石津川 諏訪ノ森,auto_review
南海本線,南海本線(諏訪ノ森〜高石),189,諏訪ノ森 浜寺公園 羽衣 高石,auto_review
南海本線,南海本線(高石〜岸和田),94,高石 北助松 松ノ浜 泉大津 忠岡 春木 和泉大宮 岸和田,auto_review
南海本線,南海本線(岸和田〜二色浜),189,岸和田 蛸地蔵 貝塚 二色浜,auto_review
南海本線,南海本線(二色浜〜井原里),94,二色浜 鶴原 井原里,auto_review
南海本線,南海本線(井原里〜箱作),77,井原里 泉佐野 羽倉崎 吉見ノ里 岡田浦 樽井 尾崎 鳥取ノ荘 箱作,auto_review
南海本線,南海本線(箱作〜和歌山市),120,箱作 淡輪 みさき公園 孝子 和歌山大学前 紀ノ川 和歌山市,auto_review
南海空港線,,104,,auto_v1
南海鋼索線,,,,auto_fail
南港ポートタウン線,,,,auto_fail
博多南線,,28,,auto_v1
参宮線,,25,,auto_v1
叡山本線,叡山本線(八瀬比叡山口〜宝ヶ池),71,八瀬比叡山口 三宅八幡 宝ヶ池,auto_v2
叡山本線,叡山本線(宝ヶ池〜出町柳),149,宝ヶ池 修学院 一乗寺 茶山・京都芸術大学 元田中 出町柳,auto_v2
可部線,可部線(横川〜三滝),70,横川 三滝,auto_v2
可部線,可部線(三滝〜あき亀山),44,三滝 安芸長束 下祗園 古市橋 大町 緑井 七軒茶屋 梅林 上八木 中島 可部 河戸帆待川 あき亀山,auto_v2
各務原線,各務原線(新鵜沼〜三柿野),57,新鵜沼 鵜沼宿 羽場 苧ヶ瀬 名電各務原 二十軒 三柿野,auto_v2
各務原線,各務原線(三柿野〜名鉄岐阜),73,三柿野 六軒 各務原市役所前 市民公園前 新那加 新加納 高田橋 手力 切通 細畑 田神 名鉄岐阜,auto_v2
吉備線,,,,auto_fail
吉都線,,8,,auto_v1
吉野線,,57,,auto_v1
名古屋市営上飯田線,,,,auto_fail
名古屋市営名城線,,,,auto_fail
名古屋市営名港線,,,,auto_fail
名古屋市営東山線,,,,auto_fail
名古屋市営桜通線,,,,auto_fail
名古屋市営鶴舞線,,,,auto_fail
名古屋本線,名古屋本線(名鉄岐阜〜石刀),146,名鉄岐阜 加納 茶所 岐南 笠松 木曽川堤 黒田 新木曽川 石刀,auto_review
名古屋本線,名古屋本線(石刀〜妙興寺),203,石刀 今伊勢 名鉄一宮 妙興寺,auto_review
名古屋本線,名古屋本線(妙興寺〜須ヶ口),66,妙興寺 島氏永 国府宮 奥田 大里 新清洲 丸ノ内 須ヶ口,auto_review
名古屋本線,名古屋本線(須ヶ口〜東枇杷島),42,須ヶ口 新川橋 二ツ杁 西枇杷島 東枇杷島,auto_review
名古屋本線,名古屋本線(東枇杷島〜金山),109,東枇杷島 栄生 名鉄名古屋 山王 金山,auto_review
名古屋本線,名古屋本線(金山〜鳴海),73,金山 神宮前 堀田 呼続 桜 本笠寺 本星崎 鳴海,auto_review
名古屋本線,名古屋本線(鳴海〜前後),99,鳴海 左京山 有松 中京競馬場前 前後,auto_review
名古屋本線,名古屋本線(前後〜一ツ木),65,前後 豊明 富士松 一ツ木,auto_review
名古屋本線,名古屋本線(一ツ木〜宇頭),172,一ツ木 知立 牛田 新安城 宇頭,auto_review
名古屋本線,名古屋本線(宇頭〜東岡崎),66,宇頭 矢作橋 岡崎公園前 東岡崎,auto_review
名古屋本線,名古屋本線(東岡崎〜名電山中),58,東岡崎 男川 美合 藤川 名電山中,auto_review
名古屋本線,名古屋本線(名電山中〜豊橋),39,名電山中 本宿 名電長沢 名電赤坂 御油 国府 小田渕 伊奈 豊橋,auto_review
名古屋線,名古屋線(近鉄名古屋〜米野),234,近鉄名古屋 米野,auto_review
名古屋線,名古屋線(米野〜戸田),68,米野 黄金 烏森 近鉄八田 伏屋 戸田,auto_review
名古屋線,名古屋線(戸田〜富吉),165,戸田 近鉄蟹江 富吉,auto_review
名古屋線,名古屋線(富吉〜近鉄長島),126,富吉 佐古木 近鉄弥富 近鉄長島,auto_review
名古屋線,名古屋線(近鉄長島〜益生),180,近鉄長島 桑名 益生,auto_review
名古屋線,名古屋線(益生〜伊勢中川),67,益生 伊勢朝日 川越富洲原 近鉄富田 霞ヶ浦 阿倉川 川原町 近鉄四日市 新正 海山道 塩浜 北楠 楠 長太ノ浦 箕田 伊勢若松 千代崎 白子 鼓ヶ浦 磯山 千里 豊津上野 白塚 高田本山 江戸橋 津 津新町 南が丘 久居 桃園 伊勢中川,auto_review
名松線,,8,,auto_v1
名鉄空港線,名鉄空港線(常滑〜りんくう常滑),85,常滑 りんくう常滑,auto_v2
名鉄空港線,名鉄空港線(りんくう常滑〜中部国際空港),52,りんくう常滑 中部国際空港,auto_v2
呉線,呉線(三原〜安浦),18,三原 須波 安芸幸崎 忠海 安芸長浜 大乗 竹原 吉名 安芸津 風早 安浦,auto_review
呉線,呉線(安浦〜広),25,安浦 安登 安芸川尻 仁方 広,auto_review
呉線,呉線(広〜かるが浜),48,広 新広 安芸阿賀 呉 川原石 吉浦 かるが浜,auto_review
呉線,呉線(かるが浜〜坂),40,かるが浜 天応 呉ポートピア 小屋浦 水尻 坂,auto_review
呉線,呉線(坂〜海田市),68,坂 矢野 海田市,auto_review
呉羽線,,,,auto_fail
和歌山港線,,13,,auto_v1
和歌山線,和歌山線(王寺〜高田),44,王寺 畠田 志都美 香芝 JR五位堂 高田,auto_review
和歌山線,和歌山線(高田〜名手),22,高田 大和新庄 御所 玉手 掖上 吉野口 北宇智 五条 大和二見 隅田 下兵庫 橋本 紀伊山田 高野口 中飯降 妙寺 大谷 笠田 西笠田 名手,auto_review
和歌山線,和歌山線(名手〜和歌山),31,名手 粉河 紀伊長田 打田 下井阪 岩出 船戸 紀伊小倉 布施屋 千旦 田井ノ瀬 和歌山,auto_review
唐津線,唐津線(西唐津〜鬼塚),46,西唐津 唐津 鬼塚,auto_v2
唐津線,唐津線(鬼塚〜本牟田部),27,鬼塚 山本 本牟田部,auto_v2
唐津線,唐津線(本牟田部〜久保田),18,本牟田部 相知 岩屋 厳木 多久 中多久 東多久 小城 久保田,auto_v2
因美線,因美線(鳥取〜津ノ井),32,鳥取 津ノ井,auto_review
因美線,因美線(津ノ井〜郡家),18,津ノ井 東郡家 郡家,auto_review
因美線,因美線(郡家〜河原),26,郡家 河原,auto_review
因美線,因美線(河原〜東津山),12,河原 国英 鷹狩 用瀬 因幡社 智頭 土師 那岐 美作河井 知和 美作加茂 三浦 美作滝尾 高野 東津山,auto_review
土讃線,土讃線(多度津〜金蔵寺),46,多度津 金蔵寺,auto_review
土讃線,土讃線(金蔵寺〜塩入),23,金蔵寺 善通寺 琴平 塩入,auto_review
土讃線,土讃線(塩入〜角茂谷),3,塩入 黒川 讃岐財田 坪尻 箸蔵 佃 阿波池田 三縄 祖谷口 阿波川口 小歩危 大歩危 土佐岩原 豊永 大田口 土佐穴内 大杉 土佐北川 角茂谷,auto_review
土讃線,土讃線(角茂谷〜高知),40,角茂谷 繁藤 新改 土佐山田 山田西町 土佐長岡 後免 土佐大津 布師田 土佐一宮 薊野 高知,auto_review
土讃線,土讃線(高知〜高知商業前),32,高知 入明 円行寺口 旭 高知商業前,auto_review
土讃線,土讃線(高知商業前〜波川),25,高知商業前 朝倉 枝川 伊野 波川,auto_review
土讃線,土讃線(波川〜大間),17,波川 小村神社前 日下 岡花 土佐加茂 西佐川 佐川 襟野々 斗賀野 吾桑 多ノ郷 大間,auto_review
土讃線,土讃線(大間〜窪川),5,大間 須崎 土佐新荘 安和 土佐久礼 影野 六反地 仁井田 窪川,auto_review
城北線,,26,,auto_v1
城南線,,,,auto_fail
城端線,,21,,auto_v1
境線,,18,,auto_v1
多奈川線,,26,,auto_v1
多賀線,,30,,auto_v1
大井川本線,大井川本線(金谷〜川根温泉笹間渡),6,金谷 新金谷 代官町 日切 合格 門出 神尾 福用 大和田 家山 抜里 川根温泉笹間渡,auto_v2
大井川本線,大井川本線(川根温泉笹間渡〜千頭),0,川根温泉笹間渡 地名 塩郷 下泉 田野口 駿河徳山 青部 崎平 千頭,auto_v2
大手町線,,,,auto_fail
大月線,,,,auto_fail
大村線,大村線(早岐〜ハウステンボス),32,早岐 ハウステンボス,auto_v2
大村線,大村線(ハウステンボス〜南風崎),24,ハウステンボス 南風崎,auto_v2
大村線,大村線(南風崎〜諫早),18,南風崎 小串郷 川棚 彼杵 千綿 松原 大村車両基地 竹松 新大村 諏訪 大村 岩松 諫早,auto_v2
大浦支線,,,,auto_fail
大社線,,23,,auto_v1
大糸線,大糸線(糸魚川〜北大町),10,糸魚川 姫川 頸城大野 根知 小滝 平岩 北小谷 中土 南小谷 千国 白馬大池 信濃森上 白馬 飯森 神城 南神城 簗場 海ノ口 稲尾 信濃木崎 北大町,auto_v2
大糸線,大糸線(北大町〜松本),24,北大町 信濃大町 南大町 信濃常盤 安曇沓掛 信濃松川 北細野 細野 安曇追分 有明 穂高 柏矢町 豊科 南豊科 中萱 一日市場 梓橋 島高松 島内 北松本 松本,auto_v2
大阪メトロ中央線,,175,,auto_v1
大阪メトロ今里筋線,,152,,auto_v1
大阪メトロ千日前線,,169,,auto_v1
大阪メトロ四つ橋線,,213,,auto_v1
大阪メトロ堺筋線,,199,,auto_v1
大阪メトロ御堂筋線,,172,,auto_v1
大阪メトロ谷町線,,175,,auto_v1
大阪メトロ長堀鶴見緑地線,,200,,auto_v1
大阪モノレール彩都線,,112,,auto_v1
大阪モノレール線,,112,,auto_v1
大阪環状線,,232,,auto_v1
大阪線,,,,auto_fail
天橋立鋼索鉄道,,,,auto_fail
天理線,,77,,auto_v1
天神大牟田線,天神大牟田線(西鉄福岡（天神）〜薬院),225,西鉄福岡（天神） 薬院,auto_review
天神大牟田線,天神大牟田線(薬院〜下大利),118,薬院 西鉄平尾 高宮 大橋 井尻 雑餉隈 春日原 白木原 下大利,auto_review
天神大牟田線,天神大牟田線(下大利〜紫),190,下大利 都府楼前 西鉄二日市 紫,auto_review
天神大牟田線,天神大牟田線(紫〜筑紫),102,紫 朝倉街道 桜台 筑紫,auto_review
天神大牟田線,天神大牟田線(筑紫〜櫛原),113,筑紫 津古 三国が丘 三沢 大保 西鉄小郡 端間 味坂 宮の陣 櫛原,auto_review
天神大牟田線,天神大牟田線(櫛原〜試験場前),105,櫛原 西鉄久留米 花畑 試験場前,auto_review
天神大牟田線,天神大牟田線(試験場前〜大善寺),68,試験場前 津福 安武 大善寺,auto_review
天神大牟田線,天神大牟田線(大善寺〜東甘木),39,大善寺 三潴 犬塚 大溝 八丁牟田 蒲池 矢加部 西鉄柳川 徳益 塩塚 西鉄中島 江の浦 開 西鉄渡瀬 倉永 東甘木,auto_review
